source,target,score
23.0,77.0,0.9253731343283582
23.0,142.0,0.9402985074626866
23.0,325.0,0.9104477611940298
23.0,136.0,0.9402985074626866
23.0,377.0,0.9253731343283582
23.0,64.0,0.9104477611940298
23.0,358.0,0.9253731343283582
23.0,0.0,0.9253731343283582
23.0,278.0,0.9402985074626866
23.0,392.0,0.9402985074626866
23.0,48.0,0.9253731343283582
23.0,58.0,0.9253731343283582
23.0,320.0,0.9701492537313433
23.0,133.0,0.9402985074626866
23.0,160.0,0.9104477611940298
23.0,241.0,0.9402985074626866
23.0,224.0,0.9253731343283582
23.0,183.0,0.9402985074626866
23.0,310.0,0.9104477611940298
23.0,4.0,0.9104477611940298
23.0,152.0,0.9253731343283582
23.0,317.0,0.9104477611940298
23.0,246.0,0.9253731343283582
23.0,295.0,0.9253731343283582
23.0,144.0,0.9104477611940298
23.0,341.0,0.9402985074626866
23.0,68.0,0.9253731343283582
23.0,83.0,0.9402985074626866
23.0,389.0,0.9253731343283582
23.0,333.0,0.9104477611940298
23.0,205.0,0.9402985074626866
65.0,164.0,0.9253731343283582
65.0,58.0,0.9402985074626866
65.0,320.0,0.9253731343283582
65.0,133.0,0.9253731343283582
65.0,241.0,0.9552238805970149
65.0,224.0,0.9402985074626866
65.0,76.0,0.9104477611940298
65.0,337.0,0.9104477611940298
65.0,213.0,0.9104477611940298
65.0,388.0,0.9104477611940298
65.0,183.0,0.9253731343283582
65.0,310.0,0.9253731343283582
65.0,216.0,0.9104477611940298
65.0,123.0,0.9104477611940298
65.0,402.0,0.9253731343283582
65.0,292.0,0.9253731343283582
65.0,4.0,0.9253731343283582
65.0,44.0,0.9253731343283582
65.0,152.0,0.9402985074626866
65.0,80.0,0.9104477611940298
65.0,364.0,0.9253731343283582
65.0,94.0,0.9104477611940298
65.0,227.0,0.9402985074626866
65.0,37.0,0.9104477611940298
65.0,299.0,0.9253731343283582
65.0,295.0,0.9402985074626866
65.0,294.0,0.9104477611940298
65.0,357.0,0.9104477611940298
65.0,130.0,0.9253731343283582
65.0,68.0,0.9402985074626866
65.0,389.0,0.9104477611940298
65.0,333.0,0.9253731343283582
65.0,205.0,0.9253731343283582
65.0,287.0,0.9402985074626866
65.0,153.0,0.9402985074626866
65.0,276.0,0.9253731343283582
65.0,85.0,0.9253731343283582
7.0,219.0,0.9104477611940298
7.0,257.0,0.9104477611940298
7.0,6.0,0.9402985074626866
7.0,179.0,0.9104477611940298
7.0,98.0,0.9104477611940298
7.0,285.0,0.9104477611940298
7.0,7.0,1.0
7.0,259.0,0.9402985074626866
7.0,379.0,0.9104477611940298
7.0,325.0,0.9104477611940298
7.0,40.0,0.9253731343283582
7.0,26.0,0.9552238805970149
7.0,106.0,0.9552238805970149
7.0,290.0,0.9253731343283582
7.0,226.0,0.9850746268656716
7.0,362.0,0.9552238805970149
7.0,25.0,0.9552238805970149
7.0,48.0,0.9253731343283582
7.0,112.0,0.9104477611940298
7.0,164.0,0.9402985074626866
7.0,382.0,0.9253731343283582
7.0,241.0,0.9104477611940298
7.0,304.0,0.9552238805970149
7.0,76.0,0.9253731343283582
7.0,387.0,0.9850746268656716
7.0,3.0,0.9552238805970149
7.0,371.0,0.9552238805970149
7.0,402.0,0.9104477611940298
7.0,292.0,0.9402985074626866
7.0,44.0,0.9402985074626866
7.0,14.0,0.9253731343283582
7.0,55.0,0.9104477611940298
7.0,169.0,0.9402985074626866
7.0,54.0,0.9104477611940298
7.0,336.0,0.9552238805970149
7.0,319.0,0.9104477611940298
7.0,35.0,0.9104477611940298
7.0,364.0,0.9701492537313433
7.0,168.0,0.9402985074626866
7.0,317.0,0.9104477611940298
7.0,214.0,0.9253731343283582
7.0,11.0,0.9402985074626866
7.0,37.0,0.9850746268656716
7.0,299.0,0.9402985074626866
7.0,144.0,0.9104477611940298
7.0,398.0,0.9253731343283582
7.0,260.0,0.9701492537313433
7.0,341.0,0.9104477611940298
7.0,130.0,0.9104477611940298
7.0,51.0,0.9253731343283582
7.0,251.0,0.9253731343283582
7.0,389.0,0.9253731343283582
7.0,91.0,0.9402985074626866
7.0,153.0,0.9253731343283582
7.0,122.0,0.9402985074626866
7.0,369.0,0.9104477611940298
7.0,85.0,0.9104477611940298
77.0,397.0,0.9253731343283582
77.0,363.0,0.9104477611940298
77.0,160.0,0.9253731343283582
77.0,241.0,0.9253731343283582
77.0,224.0,0.9402985074626866
77.0,76.0,0.9104477611940298
77.0,337.0,0.9104477611940298
77.0,213.0,0.9402985074626866
77.0,388.0,0.9104477611940298
77.0,183.0,0.9552238805970149
77.0,310.0,0.9253731343283582
77.0,216.0,0.9104477611940298
77.0,402.0,0.9253731343283582
77.0,4.0,0.9253731343283582
77.0,152.0,0.9402985074626866
77.0,118.0,0.9104477611940298
77.0,336.0,0.9104477611940298
77.0,188.0,0.9253731343283582
77.0,80.0,0.9402985074626866
77.0,204.0,0.9104477611940298
77.0,227.0,0.9402985074626866
77.0,235.0,0.9104477611940298
77.0,295.0,0.9402985074626866
77.0,357.0,0.9104477611940298
77.0,130.0,0.9253731343283582
77.0,163.0,0.9104477611940298
77.0,68.0,0.9402985074626866
77.0,333.0,0.9253731343283582
77.0,287.0,0.9104477611940298
77.0,153.0,0.9104477611940298
77.0,276.0,0.9552238805970149
174.0,130.0,0.9253731343283582
174.0,251.0,0.9104477611940298
174.0,163.0,0.9402985074626866
174.0,269.0,0.9253731343283582
174.0,153.0,0.9104477611940298
174.0,122.0,0.9253731343283582
174.0,369.0,0.9253731343283582
174.0,85.0,0.9253731343283582
142.0,317.0,0.9104477611940298
142.0,94.0,0.9552238805970149
142.0,227.0,0.9552238805970149
142.0,299.0,0.9104477611940298
142.0,295.0,0.9253731343283582
142.0,294.0,0.9253731343283582
142.0,357.0,0.9253731343283582
